pPSE,count,cutoff
0,1163677,high exposure
1,736208,high exposure
2,728349,high exposure
3,608695,high exposure
4,518007,high exposure
5,439281,high exposure
6,404503,low exposure
7,368134,low exposure
8,329385,low exposure
9,273861,low exposure
10,220873,low exposure
11,164351,low exposure
12,110395,low exposure
13,66665,low exposure
14,36717,low exposure
15,18318,low exposure
16,8196,low exposure
17,3330,low exposure
18,1228,low exposure
19,423,low exposure
20,122,low exposure
21,35,low exposure
22,13,low exposure
23,4,low exposure
24,4,low exposure
25,2,low exposure
26,1,low exposure
