context,ptm_types,cutoff,std_random_fraction,pvalue,variable,value
3D,ub,5,0.0,2.323648963582037e-05,Observed,0.17934508816120906
3D,ub,10,0.0,5.362588192064688e-06,Observed,0.19319465885760667
3D,ub,15,0.0,3.800212988176243e-07,Observed,0.17868127909554424
3D,ub,20,0.0,5.027418978112602e-07,Observed,0.164473545697623
3D,ub,25,0.0,8.429423637794997e-06,Observed,0.1578816107457989
3D,ub,30,0.0,0.0002617596700058635,Observed,0.1528415539600038
3D,ub,35,0.0,0.0014466602156954728,Observed,0.1492356568639886
3D,sm,5,0.0,0.13094705025624792,Observed,0.23070607553366174
3D,sm,10,0.0,3.751814049632414e-05,Observed,0.3161428135489777
3D,sm,15,0.0,0.0018195037848614903,Observed,0.30505808325266215
3D,sm,20,0.0,2.073957904031355e-05,Observed,0.3317584881486227
3D,sm,25,0.0,0.054059463683155236,Observed,0.2799436355096289
3D,sm,30,0.0,1.6070590888490062e-06,Observed,0.27816758871947106
3D,sm,35,0.0,0.0015558531169409936,Observed,0.24754274942776355
3D,ac,5,0.0,7.762938757008937e-05,Observed,0.29507710557532624
3D,ac,10,0.0,3.640925398699557e-06,Observed,0.3009387503847338
3D,ac,15,0.0,5.707006868405102e-07,Observed,0.2782187542042244
3D,ac,20,0.0,1.595040293205599e-05,Observed,0.2575924044859968
3D,ac,25,0.0,0.0002323376479974996,Observed,0.24939617693740943
3D,ac,30,0.0,0.965833343896269,Observed,0.23688251661066428
3D,ac,35,0.0,0.008549042581626719,Observed,0.23286659532458137
3D,m,5,0.0,0.00015830993215652596,Observed,0.31507936507936507
3D,m,10,0.0,0.0002952608835075933,Observed,0.30236855367041826
3D,m,15,0.0,8.033976718614674e-05,Observed,0.27234103838121987
3D,m,20,0.0,0.0008171962732883916,Observed,0.24593514819288304
3D,m,25,0.0,0.007664469835565006,Observed,0.237343725883624
3D,m,30,0.0,0.039121834382575896,Observed,0.22495830819997872
3D,m,35,0.0,0.5861447907279418,Observed,0.22694157589475172
3D,gl,5,0.0,0.0070948766685550915,Observed,0.3404255319148936
3D,gl,10,0.0,0.04112140493296712,Observed,0.3275862068965517
3D,gl,15,0.0,0.018150849010305517,Observed,0.36036036036036034
3D,gl,20,0.0,0.010356972993353843,Observed,0.31843575418994413
3D,gl,25,0.0,0.003610130464259559,Observed,0.34297520661157027
3D,gl,30,0.0,0.09753646167657196,Observed,0.3288888888888889
3D,gl,35,0.0,0.9233741285364234,Observed,0.26848249027237353
3D,ga,5,0.0,0.46310478897279395,Observed,0.1099476439790576
3D,ga,10,0.0,0.0004193516318610943,Observed,0.17343173431734318
3D,ga,15,0.0,0.0017280881512485413,Observed,0.14969135802469136
3D,ga,20,0.0,4.7054183833308175e-05,Observed,0.1275239107332625
3D,ga,25,0.0,0.4809910367395288,Observed,0.0998980632008155
3D,ga,30,0.0,0.4038047663196492,Observed,0.10064043915827996
3D,ga,35,0.0,0.598533762541263,Observed,0.0988909426987061
3D,ub,5,0.0022709045678533262,2.323648963582037e-05,Random sampling,0.15383360836240118
3D,ub,10,0.001300550061326375,5.362588192064688e-06,Random sampling,0.17207893062259
3D,ub,15,0.00046826428421014346,3.800212988176243e-07,Random sampling,0.16392881255931596
3D,ub,20,0.0002702781128508551,5.027418978112602e-07,Random sampling,0.1565344174661349
3D,ub,25,0.00033750238795096947,8.429423637794997e-06,Random sampling,0.15298973053094161
3D,ub,30,0.00041144975360436634,0.0002617596700058635,Random sampling,0.15033819699226103
3D,ub,35,0.00022294979968999636,0.0014466602156954728,Random sampling,0.1483644331926579
3D,sm,5,0.004556333446987269,0.13094705025624792,Random sampling,0.23502388413368563
3D,sm,10,0.004587926153463371,3.751814049632414e-05,Random sampling,0.270460565146392
3D,sm,15,0.006673973337227996,0.0018195037848614903,Random sampling,0.28051221517355845
