context,ptm_types,cutoff,std_random_fraction,pvalue,variable,value
3D,p,6,0.0,4.090407566541565e-12,Observed,0.49446684395642104
3D,p,11,0.0,8.973026054111167e-09,Observed,0.2921395394449447
3D,p,16,0.0,1.7148283872453456e-07,Observed,0.19592268234190727
3D,p,21,0.0,0.0010126257403184583,Observed,0.169027268573721
3D,p,26,0.0,7.466329870569872e-06,Observed,0.16042717818213914
3D,p,31,0.0,1.0354109881270203e-06,Observed,0.1554119651970178
3D,p,36,0.0,1.2765378523543518e-08,Observed,0.15309923068165185
3D,ub,6,0.0,1.2353472345609607e-05,Observed,0.18467459080280593
3D,ub,11,0.0,9.23214320743082e-07,Observed,0.1905036598341217
3D,ub,16,0.0,1.1966638946461361e-05,Observed,0.17507958435942098
3D,ub,21,0.0,5.9722560088197425e-06,Observed,0.16294917462027708
3D,ub,26,0.0,7.271713233057065e-08,Observed,0.15664647991367014
3D,ub,31,0.0,0.0007422273450039376,Observed,0.15227076811396942
3D,ub,36,0.0,0.024403719116404925,Observed,0.14831615783175744
3D,sm,6,0.0,0.03211430941624839,Observed,0.24346076458752516
3D,sm,11,0.0,3.502848153359933e-05,Observed,0.31120037807183365
3D,sm,16,0.0,0.0001128977558685814,Observed,0.30809456367796056
3D,sm,21,0.0,0.00016430057869595016,Observed,0.3288774233896185
3D,sm,26,0.0,0.011464908529931643,Observed,0.2749923336399877
3D,sm,31,0.0,0.008345050919653417,Observed,0.2690378777880428
3D,sm,36,0.0,0.3337207224699901,Observed,0.2513985536908173
3D,ac,6,0.0,5.476122215386317e-05,Observed,0.3014078006000462
3D,ac,11,0.0,5.623099638319492e-07,Observed,0.2973706949759289
3D,ac,16,0.0,0.0001303005077606216,Observed,0.27289779888038923
3D,ac,21,0.0,0.00024255300965985848,Observed,0.255056068274288
3D,ac,26,0.0,0.0008328418642869029,Observed,0.2445335337843481
3D,ac,31,0.0,0.022364568142832338,Observed,0.23934795673076922
3D,ac,36,0.0,0.00021982018838676413,Observed,0.23074017556317705
3D,m,6,0.0,0.0001411411094065583,Observed,0.32677400119260586
3D,m,11,0.0,0.00027012924630385635,Observed,0.2992592592592593
3D,m,16,0.0,0.0007768776483133003,Observed,0.2663442818564341
3D,m,21,0.0,0.001044872190794065,Observed,0.2400427693130179
3D,m,26,0.0,0.0017644062031163946,Observed,0.23713663336588298
3D,m,31,0.0,0.21790314824094836,Observed,0.22510822510822512
3D,m,36,0.0,0.03885441897239296,Observed,0.22508049962846324
3D,gl,6,0.0,0.034959206402231685,Observed,0.3333333333333333
3D,gl,11,0.0,0.11864999017248797,Observed,0.36764705882352944
3D,gl,16,0.0,0.0020551436681488125,Observed,0.3333333333333333
3D,gl,21,0.0,0.05163784214301032,Observed,0.3263157894736842
3D,gl,26,0.0,0.00654950979873756,Observed,0.3445378151260504
3D,gl,31,0.0,0.06074447097929523,Observed,0.3406113537117904
3D,gl,36,0.0,0.0004237481264733455,Observed,0.2196078431372549
3D,ga,6,0.0,0.16114485701660222,Observed,0.06481481481481481
3D,ga,11,0.0,0.00021348566161743927,Observed,0.17404129793510326
3D,ga,16,0.0,0.0012162659066807296,Observed,0.14937759336099585
3D,ga,21,0.0,0.000763631222755886,Observed,0.12153518123667377
3D,ga,26,0.0,0.868499544877534,Observed,0.09865900383141762
3D,ga,31,0.0,0.07896519563421944,Observed,0.10120705663881151
3D,ga,36,0.0,0.6756734939993911,Observed,0.09453197405004633
3D,p,6,0.0006052055660018514,4.090407566541565e-12,Random sampling,0.1614482467769066
3D,p,11,0.001485684274014494,8.973026054111167e-09,Random sampling,0.17269353743089252
3D,p,16,0.0006415865101588436,1.7148283872453456e-07,Random sampling,0.17125743484720135
3D,p,21,0.0006548903530678695,0.0010126257403184583,Random sampling,0.17183744560220993
3D,p,26,0.0005597015480018193,7.466329870569872e-06,Random sampling,0.16879050005796756
3D,p,31,0.0004456034594068105,1.0354109881270203e-06,Random sampling,0.16633585510994175
3D,p,36,0.00017375697293894854,1.2765378523543518e-08,Random sampling,0.16589034103383454
3D,ub,6,0.0018797113286868068,1.2353472345609607e-05,Random sampling,0.1599225513496261
3D,ub,11,0.000811942162615259,9.23214320743082e-07,Random sampling,0.170019262478814
3D,ub,16,0.0010182477494549,1.1966638946461361e-05,Random sampling,0.16156371577163833
3D,ub,21,0.0004311276467791949,5.9722560088197425e-06,Random sampling,0.15613589966949834
3D,ub,26,9.873187151397652e-05,7.271713233057065e-08,Random sampling,0.1519423825386123
3D,ub,31,0.00039703655334098926,0.0007422273450039376,Random sampling,0.1504235247872597
3D,ub,36,0.00030039598141460747,0.024403719116404925,Random sampling,0.1477871451838012
3D,sm,6,0.010075798560341994,0.03211430941624839,Random sampling,0.25971018580393485
3D,sm,11,0.004364096982020473,3.502848153359933e-05,Random sampling,0.2669881952175873
3D,sm,16,0.00403004752775241,0.0001128977558685814,Random sampling,0.27772158208996556
3D,sm,21,0.0041153453497424,0.00016430057869595016,Random sampling,0.3006813732338696
3D,sm,26,0.0015598575291320004,0.011464908529931643,Random sampling,0.27844364469789573
3D,sm,31,0.003983515881108305,0.008345050919653417,Random sampling,0.25937970774153274
3D,sm,36,0.002508921105792114,0.3337207224699901,Random sampling,0.2527763989449736
3D,ac,6,0.005278706610152333,5.476122215386317e-05,Random sampling,0.2536305752006453
3D,ac,11,0.0010761885884795507,5.623099638319492e-07,Random sampling,0.2666323435770837
3D,ac,16,0.002633391961598512,0.0001303005077606216,Random sampling,0.25376003328416413
3D,ac,21,0.0015985285680965293,0.00024255300965985848,Random sampling,0.24513901890101564
3D,ac,26,0.001320112028654963,0.0008328418642869029,Random sampling,0.23857273099788193
3D,ac,31,0.0015801482702657613,0.022364568142832338,Random sampling,0.23648818183297032
3D,ac,36,0.0005535750412577437,0.00021982018838676413,Random sampling,0.23426184239024112
3D,m,6,0.011369211788239459,0.0001411411094065583,Random sampling,0.24581039611566338
3D,m,11,0.00579218761054571,0.00027012924630385635,Random sampling,0.2643006545370187
3D,m,16,0.0035907482088281895,0.0007768776483133003,Random sampling,0.24983482560929415
3D,m,21,0.0010318364290894221,0.001044872190794065,Random sampling,0.23565121627043095
3D,m,26,0.0013013274687363738,0.0017644062031163946,Random sampling,0.23231136685418416
3D,m,31,0.003690805860850417,0.21790314824094836,Random sampling,0.2278037048320735
3D,m,36,0.0023808677899016875,0.03885441897239296,Random sampling,0.22868520579188112
3D,gl,6,0.05662396062415307,0.034959206402231685,Random sampling,0.24452757387539997
3D,gl,11,0.05370770640750457,0.11864999017248797,Random sampling,0.3144464595665904
3D,gl,16,0.021319878398589464,0.0020551436681488125,Random sampling,0.2574191909236979
3D,gl,21,0.037490749940938116,0.05163784214301032,Random sampling,0.2748592609521022
3D,gl,26,0.023449764293114624,0.00654950979873756,Random sampling,0.2836556493725392
3D,gl,31,0.04453478698324925,0.06074447097929523,Random sampling,0.2829598744644005
3D,gl,36,0.011738356438136414,0.0004237481264733455,Random sampling,0.28272998614186007
3D,ga,6,0.015298471384722035,0.16114485701660222,Random sampling,0.077947333696775
3D,ga,11,0.011294268294732944,0.00021348566161743927,Random sampling,0.10165284933724295
3D,ga,16,0.01037971187328281,0.0012162659066807296,Random sampling,0.10692373629543162
3D,ga,21,0.005197380415737013,0.000763631222755886,Random sampling,0.09753180047023806
3D,ga,26,0.007059463715576038,0.868499544877534,Random sampling,0.09803611360338797
3D,ga,31,0.004887809718479815,0.07896519563421944,Random sampling,0.10693745643224625
3D,ga,36,0.004147335366708268,0.6756734939993911,Random sampling,0.09546620976751595
1D,p,6,0.0,1.3236569992084644e-10,Observed,0.4001986170914454
1D,p,11,0.0,1.6490307499823374e-07,Observed,0.24565095398428732
