context,ptm_types,cutoff,std_random_fraction,pvalue,variable,value
3D,p,5,0.0,1.545533985993485e-05,Observed,0.3345527495869719
3D,p,10,0.0,5.6895133768740666e-06,Observed,0.314563306960802
3D,p,15,0.0,4.902681930455169e-06,Observed,0.30080286299531467
3D,p,20,0.0,0.0011039373579372412,Observed,0.2937398220034084
3D,p,25,0.0,0.19505726813985777,Observed,0.28789648665648304
3D,p,30,0.0,0.8308908832164381,Observed,0.2870043553348491
3D,p,35,0.0,0.10409398858433586,Observed,0.2841827276225122
3D,sm,5,0.0,1.597241093262025e-06,Observed,0.653946432803982
3D,sm,10,0.0,0.7831584455938881,Observed,0.44297207761476576
3D,sm,15,0.0,0.05771786705300964,Observed,0.44928265794110245
3D,sm,20,0.0,0.0008178437319227395,Observed,0.5378566203365033
3D,sm,25,0.0,0.3474360373872577,Observed,0.5163618056720927
3D,sm,30,0.0,0.010951680088558556,Observed,0.4893162393162393
3D,sm,35,0.0,0.956226603221122,Observed,0.4729181245626312
3D,ac,5,0.0,3.311145853391475e-07,Observed,0.5101038062283737
3D,ac,10,0.0,0.2761952702436374,Observed,0.36260714863334953
3D,ac,15,0.0,0.975415678587138,Observed,0.405387114239307
3D,ac,20,0.0,0.05078129235018347,Observed,0.4069252910598445
3D,ac,25,0.0,0.02058263701033571,Observed,0.40054283164782867
3D,ac,30,0.0,0.004825147539234838,Observed,0.39364901034266264
3D,ac,35,0.0,4.3990177955122843e-05,Observed,0.384867881175119
3D,m,5,0.0,3.416052865123076e-06,Observed,0.47815533980582525
3D,m,10,0.0,0.2328622357729471,Observed,0.40094117647058825
3D,m,15,0.0,0.010390198793394232,Observed,0.46515590390185724
3D,m,20,0.0,0.006327872264889013,Observed,0.4670664983164983
3D,m,25,0.0,0.02234683847139812,Observed,0.4555851063829787
3D,m,30,0.0,0.0009778366487864505,Observed,0.45263919016630516
3D,m,35,0.0,0.001204151965918294,Observed,0.42884801548886736
3D,gl,5,0.0,0.0265129182029995,Observed,0.0
3D,gl,10,0.0,0.08991674163308241,Observed,0.34615384615384615
3D,gl,15,0.0,0.8985304782568599,Observed,0.29411764705882354
3D,gl,20,0.0,0.12518822913560962,Observed,0.22727272727272727
3D,gl,25,0.0,0.03233132609520322,Observed,0.3611111111111111
3D,gl,30,0.0,0.3581739246442467,Observed,0.2920353982300885
3D,gl,35,0.0,0.720812400793399,Observed,0.3305084745762712
3D,ga,5,0.0,0.06942994395401084,Observed,0.38461538461538464
3D,ga,10,0.0,0.03730498026930469,Observed,0.20588235294117646
3D,ga,15,0.0,0.08734734648641529,Observed,0.22171945701357465
3D,ga,20,0.0,0.9499746667148798,Observed,0.19218241042345277
3D,ga,25,0.0,0.0013653820492485168,Observed,0.21750663129973474
3D,ga,30,0.0,0.03484676550465669,Observed,0.18159203980099503
3D,ga,35,0.0,0.36108062509851585,Observed,0.1581769436997319
3D,p,5,0.0024083341772312182,1.545533985993485e-05,Random sampling,0.3045755838025029
3D,p,10,0.001519679798309396,5.6895133768740666e-06,Random sampling,0.2902532875723929
3D,p,15,0.0008500548016468578,4.902681930455169e-06,Random sampling,0.28668752841315637
3D,p,20,0.0012816198771895288,0.0011039373579372412,Random sampling,0.28836307672398886
3D,p,25,0.0008604308817801199,0.19505726813985777,Random sampling,0.2885652168590319
3D,p,30,0.0012216114994090543,0.8308908832164381,Random sampling,0.2868651453520617
3D,p,35,0.0005328314360740643,0.10409398858433586,Random sampling,0.28362425568529603
3D,sm,5,0.009678121872652974,1.597241093262025e-06,Random sampling,0.44109207162833936
3D,sm,10,0.01031563907049967,0.7831584455938881,Random sampling,0.44449010281673207
