PUBMEDID;SITE COUNT;NAME;AUTHOR;YEAR;Proteasome inhibitor;untreated
29967540;67855;UbiSite approach for comprehensive mapping of lysine and N-terminal ubiquitination sites;Akimov et al.;2018;yes;yes
23266961;38477;Refined preparation and use of anti-diglycine remnant (K-_-GG) antibody enables routine quantification of 10,000s of ubiquitination sites in single proteomics experiments;Udeshi et al.;2013;yes;yes
22790023;22051;Proteomic analyses reveal divergent ubiquitylation site patterns in murine tissues;Wagner et al.;2012;no;yes
21906983;18242;Systematic and quantitative assessment of the ubiquitin-modified proteome;Kim et al.;2011;yes;yes
23749302;15509;Integrated proteomic analysis of post-translational modifications by serial enrichment;Mertins et al.;2013;yes;yes
21890473;11406;A proteome-wide, quantitative survey of in vivo ubiquitylation sites reveals widespread regulatory roles;Wagner et al.;2011;yes;yes
27184836;8508;Multiomic Analysis of the UV-Induced DNA Damage Response;Boing et al.;2016;yes;yes
23000965;7523;Systems-wide analysis of ubiquitylation dynamics reveals a key role for PAF15 ubiquitylation in DNA-damage bypass;Povlsen;2012;no;yes
29079793;6982;Site-specific identification and quantitation of endogenous SUMO modifications under native conditions;Lumpkin et al.;2017;yes;yes
25825284;1356;Suberoylanilide hydroxamic acid treatment reveals crosstalks among proteome, ubiquitylome and acetylome in non-small cell lung cancer A549 cell line;Wu et al.;2015;no;yes
21139048;1047;Mass spectrometric analysis of lysine ubiquitylation reveals promiscuity at site level;Danielsen et al.;2011;no;yes
20639865;621;;;;;
20972266;485;;;;;
19737024;91;;;;;
18781797;80;;;;;
17370265;79;;;;;
17451654;36;;;;;
26010904;25;;;;;
25578731;22;;;;;
17203973;22;;;;;
26676607;20;;;;;
27895153;19;;;;;
16196087;18;;;;;
19913553;18;;;;;
18655026;18;;;;;
17940017;17;;;;;
26370087;16;;;;;
23576762;15;;;;;
21071436;14;;;;;
17550899;13;;;;;
23452856;12;;;;;
18805448;11;;;;;
17371868;11;;;;;
17948050;11;;;;;
18955483;11;;;;;
23109339;11;;;;;
21209460;10;;;;;
24797263;10;;;;;
28536267;9;;;;;
19927155;9;;;;;
27879315;9;;;;;
21706061;9;;;;;
16543144;9;;;;;
22101235;9;;;;;
28903417;8;;;;;
26435193;8;;;;;
23750026;8;;;;;
19815531;7;;;;;
18536714;7;;;;;
28716524;7;;;;;
28498859;7;;;;;
19432880;7;;;;;
16006521;7;;;;;
26817839;7;;;;;
29091922;7;;;;;
13678583;6;;;;;
16862177;6;;;;;
23335559;6;;;;;
19966288;6;;;;;
17392790;6;;;;;
9351815;6;;;;;
20074553;6;;;;;
25448846;6;;;;;
19073596;6;;;;;
22980979;6;;;;;
28522751;6;;;;;
21731648;6;;;;;
17526739;6;;;;;
15964796;6;;;;;
11046142;6;;;;;
19619542;6;;;;;
27621311;6;;;;;
17429006;6;;;;;
20018880;6;;;;;
25670349;5;;;;;
18713730;5;;;;;
26909574;5;;;;;
28065793;5;;;;;
26522722;5;;;;;
19055777;5;;;;;
23134341;5;;;;;
34152608;5;;;;;
25486864;5;;;;;
17728323;5;;;;;
12426395;5;;;;;
27325702;5;;;;;
16252010;5;;;;;
23707720;5;;;;;
19264966;5;;;;;
24647965;5;;;;;
20453884;5;;;;;
24247240;4;;;;;
19286978;4;;;;;
25936802;4;;;;;
27405757;4;;;;;
16549805;4;;;;;
20061386;4;;;;;
28250012;4;;;;;
16705181;4;;;;;
19887642;4;;;;;
23484054;4;;;;;
17006543;4;;;;;
17883243;4;;;;;
19372219;4;;;;;
26903241;4;;;;;
27685940;4;;;;;
19453968;4;;;;;
18212250;4;;;;;
18815279;4;;;;;
27058417;4;;;;;
27573245;4;;;;;
28446751;4;;;;;
8649784;4;;;;;
27302166;4;;;;;
28481357;4;;;;;
27573246;4;;;;;
18620544;4;;;;;
26829767;4;;;;;
16429130;4;;;;;
19713937;3;;;;;
29021560;3;;;;;
24058710;3;;;;;
19219073;3;;;;;
23708797;3;;;;;
18326498;3;;;;;
20538595;3;;;;;
28892081;3;;;;;
24086733;3;;;;;
18613717;3;;;;;
25660027;3;;;;;
18212060;3;;;;;
23640180;3;;;;;
11909853;3;;;;;
27777308;3;;;;;
19857530;3;;;;;
25959059;3;;;;;
16847063;3;;;;;
25557551;3;;;;;
25216678;3;;;;;
27178468;3;;;;;
25043012;3;;;;;
19111657;3;;;;;
24489825;3;;;;;
27457618;3;;;;;
11691834;3;;;;;
26911690;3;;;;;
27369080;3;;;;;
26769849;3;;;;;
10318797;3;;;;;
19484123;3;;;;;
23928698;3;;;;;
20089860;3;;;;;
22028379;3;;;;;
25132264;3;;;;;
17963781;3;;;;;
23028469;3;;;;;
16129414;3;;;;;
23933260;3;;;;;
18710948;3;;;;;
9990853;3;;;;;
27428899;3;;;;;
28753655;3;;;;;
28500134;3;;;;;
28053206;3;;;;;
22334673;3;;;;;
28973854;3;;;;;
19617712;3;;;;;
22033876;3;;;;;
27664236;3;;;;;
16443603;3;;;;;
27992402;3;;;;;
29191848;3;;;;;
19858201;2;;;;;
28676490;2;;;;;
29378950;2;;;;;
17488778;2;;;;;
18565875;2;;;;;
16399501;2;;;;;
21811235;2;;;;;
28542476;2;;;;;
19223549;2;;;;;
23453972;2;;;;;
19825828;2;;;;;
24336050;2;;;;;
18724939;2;;;;;
18287044;2;;;;;
10207090;2;;;;;
24056301;2;;;;;
29070679;2;;;;;
28634194;2;;;;;
19029828;2;;;;;
21378313;2;;;;;
29100376;2;;;;;
19536131;2;;;;;
23322406;2;;;;;
25818514;2;;;;;
29141220;2;;;;;
23332751;2;;;;;
16482222;2;;;;;
26205817;2;;;;;
16327172;2;;;;;
27432944;2;;;;;
19880496;2;;;;;
7479976;2;;;;;
26578682;2;;;;;
23871670;2;;;;;
19390091;2;;;;;
20483786;2;;;;;
21690091;2;;;;;
29021256;2;;;;;
27345151;2;;;;;
28095500;2;;;;;
29444827;2;;;;;
26471729;2;;;;;
27506794;2;;;;;
19117940;2;;;;;
25675293;2;;;;;
26364617;2;;;;;
28362432;2;;;;;
23618873;2;;;;;
26246171;2;;;;;
33999923;2;;;;;
21708940;2;;;;;
23222971;2;;;;;
33991522;2;;;;;
27070702;2;;;;;
29891922;2;;;;;
29167269;2;;;;;
19345326;2;;;;;
26598551;2;;;;;
28553408;2;;;;;
28669731;2;;;;;
30711629;2;;;;;
14657036;2;;;;;
25016022;2;;;;;
19854138;2;;;;;
25448412;2;;;;;
23012657;2;;;;;
30686098;2;;;;;
9351830;2;;;;;
15367667;2;;;;;
14651848;2;;;;;
18316598;2;;;;;
19737936;2;;;;;
22863316;2;;;;;
21572392;2;;;;;
20003470;2;;;;;
20654576;2;;;;;
23853093;2;;;;;
26746706;2;;;;;
16849322;2;;;;;
22855611;2;;;;;
23201124;2;;;;;
28542143;2;;;;;
28458162;2;;;;;
24114844;2;;;;;
21606193;2;;;;;
23457570;2;;;;;
25423885;2;;;;;
21628454;2;;;;;
18347055;2;;;;;
18824541;2;;;;;
21676867;2;;;;;
8887633;2;;;;;
25499082;2;;;;;
27221712;2;;;;;
16210244;2;;;;;
27521268;2;;;;;
9135156;2;;;;;
15469820;2;;;;;
16601690;2;;;;;
23453807;2;;;;;
16166645;2;;;;;
19188440;2;;;;;
19808967;2;;;;;
17965877;2;;;;;
19935683;2;;;;;
27129778;2;;;;;
27729454;2;;;;;
19713527;2;;;;;
28724525;2;;;;;
28439110;2;;;;;
22072751;2;;;;;
26975375;2;;;;;
9724653;2;;;;;
21708125;2;;;;;
28408404;2;;;;;
8550590;2;;;;;
27232758;2;;;;;
28489822;2;;;;;
18083706;2;;;;;
23589305;2;;;;;
32111827;2;;;;;
25778398;2;;;;;
29069083;2;;;;;
15468071;2;;;;;
23453969;2;;;;;
27692986;2;;;;;
28948228;2;;;;;
19542455;2;;;;;
16687393;2;;;;;
23637190;2;;;;;
29021376;2;;;;;
24425877;2;;;;;
26825710;2;;;;;
17574025;2;;;;;
29038250;2;;;;;
12538644;2;;;;;
21768102;2;;;;;
27880896;2;;;;;
29269414;2;;;;;
16096638;2;;;;;
19136968;2;;;;;
23959799;2;;;;;
27538435;2;;;;;
24466302;2;;;;;
33568778;2;;;;;
22406003;1;;;;;
24873882;1;;;;;
18923646;1;;;;;
22101936;1;;;;;
23770847;1;;;;;
27430721;1;;;;;
27264184;1;;;;;
11460167;1;;;;;
18931787;1;;;;;
19460345;1;;;;;
17460694;1;;;;;
27637147;1;;;;;
28972160;1;;;;;
20543557;1;;;;;
23319590;1;;;;;
22692198;1;;;;;
22897849;1;;;;;
28131816;1;;;;;
28099510;1;;;;;
34232536;1;;;;;
30224829;1;;;;;
18490743;1;;;;;
20703100;1;;;;;
21857162;1;;;;;
26748827;1;;;;;
27034005;1;;;;;
21613257;1;;;;;
22157819;1;;;;;
22103913;1;;;;;
22117219;1;;;;;
18093184;1;;;;;
12794086;1;;;;;
19880507;1;;;;;
26716510;1;;;;;
27618486;1;;;;;
25944903;1;;;;;
15466860;1;;;;;
28115710;1;;;;;
26416890;1;;;;;
25483963;1;;;;;
26240340;1;;;;;
31186535;1;;;;;
17936708;1;;;;;
23519470;1;;;;;
23871831;1;;;;;
23564455;1;;;;;
25703348;1;;;;;
23512198;1;;;;;
28683321;1;;;;;
21355096;1;;;;;
17108083;1;;;;;
20129063;1;;;;;
23740247;1;;;;;
25527505;1;;;;;
25939025;1;;;;;
26549024;1;;;;;
22828868;1;;;;;
19150425;1;;;;;
24876223;1;;;;;
24986865;1;;;;;
23885119;1;;;;;
29281621;1;;;;;
11842186;1;;;;;
26488816;1;;;;;
16803894;1;;;;;
28059589;1;;;;;
28468752;1;;;;;
11239454;1;;;;;
19357255;1;;;;;
19789334;1;;;;;
