quality_cutoff	ptm	roi	n_aa_ptm	n_aa_roi	n_ptm_in_roi	n_ptm_not_in_roi	n_naked_in_roi	n_naked_not_in_roi	oddsr	p	p_adj_bf	p_adj_bh
0	ub_treated_only	high_acc_5	15304	301599	13043	2261	288556	42154	0.8427244882460962	6.168924630575677e-13	1.665609650255433e-11	1.665609650255433e-12
0	ac	high_acc_5	12568	301599	10914	1654	290685	42761	0.9706746223567029	0.2712297126291224	1.0	0.3184000974341871
0	ac_reg	high_acc_5	252	301599	207	45	301392	44370	0.6771978021978022	0.023183765080694627	0.625961657178755	0.031298082858937745
0	ga	high_acc_5	275	560314	235	40	560079	180642	1.8948608142779857	7.7555832572556e-05	0.0020940074794590117	0.00013087546746618826
0	gl	high_acc_5	69	560314	59	10	560255	180672	1.9026421897171824	0.06708223598068919	1.0	0.0823281987035731
0	gl_reg	high_acc_5	6	560314	6	0	560308	180682	inf	0.3467387897678268	1.0	0.39008113848880516
0	m	high_acc_5	5589	581034	4703	886	576331	101299	0.9329845128774895	0.059707660961004855	1.0	0.0767669926641491
0	m_reg	high_acc_5	64	581034	55	9	580979	102176	1.0747529409649728	1.0	1.0	1.0
0	p	high_acc_5	79604	665914	57596	22008	608318	260828	1.1221096301689069	9.35337722302365e-45	2.5254118502163856e-43	8.418039500721286e-44
0	p_reg	high_acc_5	2698	665914	1958	740	663956	282096	1.124187096084029	0.006551407021801984	0.17688798958865357	0.009827110532702977
0	sm	high_acc_5	3920	301599	3612	308	297987	44107	1.7358301475628741	2.369412152520216e-23	6.397412811804584e-22	9.139161159720834e-23
0	sm_reg	high_acc_5	157	301599	139	18	301460	44397	1.137276918994228	0.720095169045134	1.0	0.7777027825687448
0	ub	high_acc_5	61941	301599	53722	8219	247877	36196	0.954459577582815	0.0004003852832382001	0.010810402647431402	0.0006359060380842002
0	ub_reg	high_acc_5	255	301599	221	34	301378	44381	0.9571916330986336	0.7789951897798243	1.0	0.8089565432328945
0	p_functional_0	high_acc_5	16485	665914	13834	2651	652080	280185	2.2422397357848727	0.0	0.0	0.0
0	p_functional_5	high_acc_5	2002	665914	1651	351	664263	282485	2.0003006952678994	1.71716360994069e-36	4.636341746839863e-35	1.1590854367099658e-35
0	p_functional_6	high_acc_5	988	665914	832	156	665082	282680	2.2668282507520376	2.1472601879878452e-24	5.797602507567182e-23	9.662670845945305e-24
0	p_functional_7	high_acc_5	532	665914	467	65	665447	282771	3.0529867546522516	8.77208335886376e-22	2.368462506893215e-20	2.9605781336165187e-21
0	p_functional_8	high_acc_5	290	665914	267	23	665647	282813	4.93217883274207	8.950897325807469e-20	2.4167422779680166e-18	2.685269197742241e-19
0	p_functional_9	high_acc_5	120	665914	114	6	665800	282830	8.07114749173926	1.5902916293713374e-11	4.293787399302611e-10	3.578156166085509e-11
0	p_stukalov	high_acc_5	1420	665914	1252	168	664662	282668	3.1693546780884403	2.307621123688462e-58	6.230577033958848e-57	3.115288516979424e-57
0	ub_shared	high_acc_5	8292	301599	7299	993	294300	43422	1.0845102876095976	0.01748891550593756	0.4722007186603141	0.024852669403174425
0	ub_untreated_only	high_acc_5	3164	301599	2882	282	298717	44133	1.5099006752210287	4.208627053752513e-12	1.1363293045131784e-10	1.033026640466526e-11
0	p_sugiyama	high_acc_5	11207	665914	7270	3937	658644	278899	0.781925206091137	3.5894714135194805e-34	9.691572816502597e-33	1.9383145633005196e-33
0	p_sugiyama_psp	high_acc_5	5972	665914	3994	1978	661920	280858	0.8567676670838738	2.8479029745531145e-08	7.689338031293409e-07	5.126225354195606e-08
0	p_sugiyama_ochoa	high_acc_5	3174	665914	2390	784	663524	282052	1.2958489636472863	1.5402471071719691e-10	4.158667189364317e-09	3.1989747610494747e-10
0	p_sugiyama_stukalov	high_acc_5	313	665914	268	45	665646	282791	2.530139910870209	2.665674707002362e-10	7.1973217089063776e-09	5.14094407779027e-10
