quality_cutoff	ptm	roi	n_aa_ptm	n_aa_roi	n_ptm_in_roi	n_ptm_not_in_roi	n_naked_in_roi	n_naked_not_in_roi	oddsr	p	p_adj_bf	p_adj_bh
0	ub_treated_only	IDR	19517	256095	4213	15304	251882	330710	0.3614404017990103	0.0	0.0	0.0
0	ac	IDR	21202	256095	8634	12568	247461	333446	0.9256879719572655	5.595594061768448e-08	1.510810396677481e-06	6.043241586709924e-08
0	ac_reg	IDR	631	256095	379	252	255716	345762	2.0335648587830697	1.0326908753411237e-18	2.788265363421034e-17	1.267393347009561e-18
0	ga	IDR	1641	673154	1366	275	671788	740721	5.476970743475891	1.020558823501832e-197	2.7555088234549464e-196	2.296257352879122e-197
0	gl	IDR	414	673154	345	69	672809	740927	5.506220933429844	1.9018620724009363e-51	5.135027595482528e-50	2.8527931086014046e-51
0	gl_reg	IDR	25	673154	19	6	673135	740990	3.485880742099777	0.004708171702060528	0.12712063595563428	0.004889255229062857
0	m	IDR	13866	515468	8277	5589	507191	677630	1.9786087800338727	0.0	0.0	0.0
0	m_reg	IDR	176	515468	112	64	515356	683155	2.319796897678498	4.3387334272290855e-08	1.171458025351853e-06	4.881075105632722e-08
0	p	IDR	214371	746685	134767	79604	611918	869146	2.404629535248109	0.0	0.0	0.0
0	p_reg	IDR	8658	746685	5960	2698	740725	946052	2.8213847846713	0.0	0.0	0.0
0	sm	IDR	8053	256095	4133	3920	251962	342094	1.431494713164554	2.4395050059588386e-57	6.586663516088864e-56	4.1166646975555405e-57
0	sm_reg	IDR	467	256095	310	157	255785	345857	2.6698295704904433	3.7446390056661064e-25	1.0110525315298488e-23	4.814535864427851e-25
0	ub	IDR	91388	256095	29447	61941	226648	284073	0.5958554424749047	0.0	0.0	0.0
0	ub_reg	IDR	451	256095	196	255	255899	345759	1.0385341827186876	0.703235714753182	1.0	0.703235714753182
0	p_functional_0	IDR	106174	746685	89689	16485	656996	932265	7.720170373328127	0.0	0.0	0.0
0	p_functional_5	IDR	10866	746685	8864	2002	737821	946748	5.681317474915109	0.0	0.0	0.0
0	p_functional_6	IDR	4710	746685	3722	988	742963	947762	4.805643276649023	0.0	0.0	0.0
0	p_functional_7	IDR	2118	746685	1586	532	745099	948218	3.793899003197506	9.259594233822753e-183	2.5000904431321433e-181	1.785778887951531e-182
0	p_functional_8	IDR	968	746685	678	290	746007	948460	2.9724038366469983	7.2613220630003e-60	1.960556957010081e-58	1.307037971340054e-59
0	p_functional_9	IDR	410	746685	290	120	746395	948630	3.071460151796301	1.052607791830147e-27	2.842041037941397e-26	1.4210205189706986e-27
0	p_stukalov	IDR	15052	746685	13632	1420	733053	947330	12.406153443202607	0.0	0.0	0.0
0	ub_shared	IDR	11741	256095	3449	8292	252646	337722	0.5560077265234884	6.84710790405485e-194	1.8487191340948097e-192	1.422091641611392e-193
0	ub_untreated_only	IDR	6321	256095	3157	3164	252938	342850	1.3524716819967144	9.990211160480178e-33	2.697357013329648e-31	1.4196615859629726e-32
0	p_sugiyama	IDR	19338	746685	8131	11207	738554	937543	0.9210082704810227	1.8636234232511197e-08	5.031783242778023e-07	2.187731844686097e-08
0	p_sugiyama_psp	IDR	12170	746685	6198	5972	740487	942778	1.3213679660435198	7.834905000387286e-53	2.1154243501045672e-51	1.2443672647673925e-52
0	p_sugiyama_ochoa	IDR	8312	746685	5138	3174	741547	945576	2.0641675003624913	4.078816806896996e-233	1.101280537862189e-231	1.0011641253292628e-232
0	p_sugiyama_stukalov	IDR	1742	746685	1429	313	745256	948437	5.810197540542794	7.750902008751437e-234	2.0927435423628878e-232	2.092743542362888e-233
